It\'s Your World -- Change It!,,,,,,,,,,,,,,,,,,,,
,Computer Expert,,Every step has three choices. Do ONE choice to complete each step.,,,,,,,,,,,,,,,,,
,,Ask a dancer for help,,,,,,,,,,,,,,,,,,Ask a dancer for help. Invite a dance teacher or a family member; neighbor; or older Girl Scout who is skilled at dancing to teach you some basic steps or a simple folk dance.
,,\"Try \"\"dancersise\"\"\",,,,,,,,,,,,,,,,,,\"Try \"\"dancercise.\"\" Some exercise classes use different kinds of fast-paced dance moves called dancercise. Choose one-such as Zumba; Jazzercise; or step aerobics-and learn a dancercise routine.\"
,3,Take to the floor like a dancer, , , , , , , , , , , , , , , ,,,There\'s more to dancing than the steps! Dancers use their entire bodies-from the balls of their feet to the smiles on their faces-to express the music and make sure the audience is having as much fun as they are.
,,Head to the studio,,,,,,,,,,,,,,,,,,Head to the studio. Visit a local dance studio and ask a teacher to show you good posture; how to use your face and hands to show feeling; and how to take a bow.
,,Team up with an adult to find,,,,,,,,,,,,,,,,,,Team up with an adult to find performance tips at the library or online. Once you\'ve found tips to help you; practice at home or with your friends and Brownie sisters.
,,Pretend you\'re a Girl Scout,,,,,,,,,,,,,,,,,,\"Pretend you\'re a Girl Scout in 1930. With your group; try these activities from their Dancer badge: Demonstrate both a curtsy and a deep curtsy. Demonstrate the proper carriage in walking. Demonstrate the correct standing position.\" 
,4,Make up your own dance, , , , , , , , , , , , , , , ,,,Choreograph your own three-minute dance. Pick the music; the costume; and give it a name.
,,Create a special-occasion dance,,,,,,,,,,,,,,,,,,\"Create a special-occasion dance. What about a thank-you dance for a friend; teacher; or parent? Or a birthday dance; first-day-of-school dance; new-friend dance; or \"\"yay-it\'s summer!\"\" dance?\"
,,Use dance to tell a story,,,,,,,,,,,,,,,,,,Use a dance to tell a story. Retell your favorite book or movie-or create your own story. How can your moves show feelings like excitement; happiness; or surprise?
,,Make up a dance to your favorite,,,,,,,,,,,,,,,,,,Make up a dance to your favorite song. Create steps from your imagination or find cool steps from different dances and put them together.
,5,Show your moves, , , , , , , , , , , , , , , ,,,Take all the dancing you\'ve learned and become a performer. Hold your head high and have all the fun of a Brownie dancer.
,,Throw a dance party,,,,,,,,,,,,,,,,,,\"Throw a dance party. Gather with your friends; Girl Scout sisters; or your family. Teach the dance you created or a dance you learned. FOR MORE FUN: Make a party playlist with all kinds of dancing music. Every girl can choose a song.\"
,,Perform a dance show for your,,,,,,,,,,,,,,,,,,\"Perform a dance show for your community. Your show could be for a school talent show; a festival; a Brownie ceremony; or a special celebration at a Girl Scout meeting. You can even teach your dance to the audience. FOR MORE FUN: Make a program about your show. You can list the dancers and tell the stories behind your badge.\"
,,Perform a dance for your family,,,,,,,,,,,,,,,,,,Perform a dance for your family. Be sure to teach them the steps.
,Home Scientist,,,,,,,,,,,,,,,,,,,
,1,Be a kitchen chemist,,,,,,,,,,,,,,,,,,Start your experimenting in the coolest place for science in your house-the kitchen! Science is responsible for making lots of different foods. Try one of these experiments; then enjoy the food when you\'re done!
,,Make a salad dressing,,,,,,,,,,,,,,,,,,\"Make a salad dressing. Salad dressing is science in action! A vinaigrette is made with two liquids that don\'t want to blend. They need the help of an \"\"emulsifier\"\" to come together. Here; use mustard as your emulsifier to get vinegar and oil to mix into something yummy for your salad. You\'ll need: 1 tsp mustard; 1 Tbsp vinegar; 1/2 cup olive oil; salt and pepper; medium-size bowl; whisk Instructions: Put the mustard in the bowl. Add the vinegar and whisk; whisk; whisk! Slwoly add the oil while continuing to whisk. Watch closely as the dressing gets smooth. What happens? Look really closely-your dressing is not a mixture (like vinegar and water would be); but actually tiny oil bubbles floating in vinegar; with the help of mustard. It\'s an emulsion!\"
,,Grow rock candy,,,,,,,,,,,,,,,,,,\"Grow rock candy. Make your own candy from sugar crystals. You\'ll need: 1 cup water; 4 cups sugar; food coloring; jar; wooden skewers or string Instructions: With an adult\'s help; boil the water. Slowly pour in the sugar; letting it dissolve as you pour. When the sugar won\'t dissolve anymore and begins building up on the bottom of the pan; add a few drops of the food coloring. (You can also add fruit flavoring now.) Pour this liquid into the jar; but don\'t let any undissolved sugar get into the jar. Put the skewers into the solution or tie string to a pencil and place the pencil across the jar. What happens? Crystals should start to form after about an hour; but if you wait several days or weeks; your rock candy will form large crystals. Sugar is actually made of tiny crystals that clump together. The same idea is used to make rock candy.FOR MORE FUN: Use a hand lens or magnifying glass to look really closely at how the crystals grow. Do they look different than salt crystals?\"
,,Make your own ice cream,,,,,,,,,,,,,,,,,,\"Make your own ice cream. With the help of salt; ice cream stays creamy instead of turning into a block of ice. You\'ll need: 1 Tbsp sugar; 1/2 cup whipping cream or half & half; 1/4 tsp vanilla; 6 Tbsp rock salt or kosher salt; 1 pint-sized ziplock bag; 1 gallon-size ziplock bag; ice Instructions: Fill the pint-size bag with sugar; milk; and vanilla; then seal it. Fill the gallon-size bag halfway with ice; then add the salt. Place the pint bag inside the gallon bag and seal. Shake the bags for about 10 minutes; until you see ice cream forming in the small bag. (Wear gloves-your hands will get cold.) Then open it up and dig in!Tip: Double-bag both bags in case something leaks. What happens? Salt helps keep the ice cream temperature low enough to freeze milk; and sugar helps kep the ice cream from freezing solid! (There\'s more cool science in ice cream-with an adult; find out more online.)\"
,2,Create static electricity, , , , , , , , , , , , , , , ,,,Ever wonder why your clothes sometimes cling to you? Or why you feel a shock when you touch a doorknob? It\'s because of static electricity. Try one of these experiments to find out more about how it works.
,,Follow the balloon leader,,,,,,,,,,,,,,,,,,\"Follow the balloon leader. A balloon charged with static electricity can make a lot of different things folow it around the room! You\'ll need: a balloon; a ping-pong ball; paper; bubbles (optional) Instructions: Blow up the balloon and tie the end. Rub it on your hair. Then hold it close to a Ping-Pong ball. When you move the balloon; watch the science magic. What happens? When you rub the balloon against your hair; you give it a negative charge. The balloon takes some of the electrons from your hair; which leaves your hair positively charged.  Your positively charged hair is now attracted to the negatively charged ballon; so your hair starts to rise up to meet it. This is similar to the Ping-Pong ball; which is drawn to the negatively charged ballon as the area near it becomes positively charged - opposite charges attract.  You also see how same charges repel here0after you rub the balloon; the strands of your hair repel each other!FOR MORE FUN: Try the experiment again with small bits of paper; or blow some bubbles and see if they\'ll follow the balloon.\"
,,Make pepper dance,,,,,,,,,,,,,,,,,,\"Make pepper dance. See what happens when electric charges jump back and forth. You\'ll need: salt; pepper; a sheet of paper; a balloon Instructions: Pour some salt and pepper on the sheet of paper. Blow up the balloon and tie it; and then rub it on your hair. Hold it over the salt and pepper and watch a \"\"dance\"\"! What happens? After you rub the balloon on your hair; it gets a negative charge. When you bring it close to the salt and pepper; the charge attracts the pepper first because it\'s lighter than salt. The pepper moves to the balloon; where it gets a negative charge; which repels it back to the paper. There; it loses the charge; and the \"\"dance\"\" starts again.\"
,,Bend water,,,,,,,,,,,,,,,,,,\"Bend water. See if you can bend water with static electricity. You\'ll need: running water from a tap; a plastic comb; a wool sweater Instructions: Turn the water on in a very thing stream. Rub the comb very quickly on the sweater. Then bring the teeth of the comb near the water; about 3-4 inches below the faucet. Watch closely! What happens? The water bends toward the comb! By rubbing the comb against the sweater; you gave it a positive charge. This caused the water to be attracted to the charged item.FOR MORE FUN: Try moving the comb different distances from the water. Then try running it through your hair more times. You could also try different kinds of combs.\"
,3,Dive into density, , , , , , , , , , , , , , , ,,,How come some things float; while others don\'t? It\'s all aobut density. Density is not weight; but it\'s related. For example; if you swim in the pool with blow-up floaties or a raft; you won\'t sink because the air inside the floaties is less dense than the water around you. So the air helps hold you up! Try one of these to find out more about density.
,,Eggs in salt water,,,,,,,,,,,,,,,,,,\"Eggs in salt water. See if you can keep an egg suspended in the middle of a glass with this experiment. You\'ll need: a tall glass or clear pitcher; 4 Tbsp salt; 2 cups water; food coloring; an egg Instructions: Mix the salt and one cup of water in the glass; then add a few drops of food coloring. Mix to dissolve the salt. Then slowly pour the remaining cup of plain water down the side of the glass. Carefully lower your egg into the glass. What happens? The egg should sink unti lit hits the layer of salt water. (The food coloring is to help you see the boundary between the salt water and plain water.) Why does the egg stop sinking? Because the salt water is denser than the egg!\"
,,Dancing raisins,,,,,,,,,,,,,,,,,,\"Danding raisins. Can you make raisins move without touching them? Try this experiment. You\'ll need: Can of lemon-lime soda (like Springe or 7Up); tall glass; a small box of raisins Instructions: Pour the soda into the glass. Drop 6 or 7 raisins into the soda. Watch them for a few seconds. What happens? Raisins are denser than the soda so at first they sink. But then the bubbles from the soda fill in the wrinkles in the raisins; lifting them up. When the bubbles reach the top of the glass; they pop; and the raisins sink again.\"
,,Lemons vs. limes,,,,,,,,,,,,,,,,,,\"Lemons vs. limes. Lemons and limes seem very alike. But are they really? You\'ll need: a deep container; a lemon; a lime Instructions: Fill a deep container with water. Add the lemon and lime. What happens? Usually the lemon will float and the lime won\'t. This is because a lime is denser than water; but a lemon is not.FOR MORE FUN: Try the experiment again with different juicy fruits. You could use an orange with peel and one without; and then add more fruits with and without peels. Which float and which sink? Are any of them in the middle?\"
,4,Make something bubble up, , , , , , , , , , , , , , , ,,,\"When mixed with a gas called carbon dioxide; some household items can have a fun reaction. Check out how carbon dioxide reacts with different elements.Important Tip: Make sure you wear sunglasses or safety goggles for these experiments!\"
,,Soda geyser,,,,,,,,,,,,,,,,,,\"Soda geyser. A geyser is a hole in the earth that sprays out hot water and steam. So making your own is definitely an outside experiment! You\'ll need: 2-liter bottle of Diet Coke; Roll of Mentos candy (mint works best); Long piece of scotch tape Instructions: Take the top off the soda bottle and set the bottle on the ground somewhere outside with nothing else around. Open the package of Mentos candy and stick them along a piece of tape so you can drop them all into the soda at once. When you are ready to make the drop; be ready to run and stand back! What happens? A soda geyser will erupt because of the carbon dioxide gas created by the rapid reaction between the candy and soda.\"
,,Film-canister rockets,,,,,,,,,,,,,,,,,,\"Film-canister rockets. If a gas like carbon dioxide builds up; it can create a strong force. You\'ll need: an old film canister with a pop-in lid (it\'s important that the lid is pop-in; not pop-on. Pop in canisters are usually clear; while pop-ons are usually black with a grey or black lids. Canisters are available at photo stores or science-supply stories); water; Alka-Seltzer tablets Instructions: Fill the film canister half-full with water. Cut the Alka Seltzer tablet into 4 pieces; then drop the pieces into the canister; and snap on the lid. Time the reaction! What happens? The carbon dioxide created by the reaction in the canister should pop the top off the canister.FOR MORE FUN: Try again; changing the amount of water or Alka-Seltzer. Is there a best combination?\"
,,Blow up a balloon without using,,,,,,,,,,,,,,,,,,\"Blow up a balloon without using your breath. Gases like carbon dioxide will try to find a place to go when they are expanding in confined spaces. Test this out by showing your friends how to blow up a balloon without using your breath. Be careful-the balloon might pop! You\'ll need: 2 spoons; 2 Tbsp vinegar; a clean; empty plastic bottle; a balloon; 1 tsp baking soda Instructions: With one of the spoons; add the vinegar to the bottle. Ask a friend or an adult to hold open the mouth of the balloon; and; using the other spoon; pour baking soda into the balloon. Then stretch the balloon\'s opening over the mouth of the bottle. Make sure the baking soda inside the balloon falls into the vinegar What happens? The baking soda and vinegar create carbon dioxide when they mix. There is not enough room inside the bottle for the extra gas; so it expands into the balloon; blowing it up!\"
,5,Play with science, , , , , , , , , , , , , , , ,,,
,,Giant bubbles,,,,,,,,,,,,,,,,,,\"Giant bubbles. These are even more fun than the small ones from the standard bubble wand You\'ll need: cotton string; a large plastic tub; 2 plastic straws; 1 cup dishwashing soap; 4 cups water; 1/2 cup light-colored corn syrup or glycerin Instructions: To make your bubble blower; cut a long piece of string and thread it through two straws. Tie the ends of the string together; and then slide the knot into the middle of one of the straws. You can adjust the blower size by making the length of string shorter or longer before tying ends. Pour the liquids into the tub and mix. Dip your blower into the tub. Holding the straws; slowly spin around. With some practice; you should create huge bubbles!\"
,,Homemade Silly Putty,,,,,,,,,,,,,,,,,,\"Homemade Silly Putty. Silly Putty is fun goo that you can stretch; stamp; and play with. Instead of buying some; why not make your own? You\'ll need: food coloring; 3/4 cup glue; 1/4 cup liquid starch or borax; mixing bowl; water Instructions: In the bowl; mix 8 drops of food coloring; the glue; and 1 cup water. Mix the borax with 1 1/3 cups water. Slowly add the liquid starch or borax mixture to the colored glue and water mixture. Knead the mixture until you can stretch it but it isn\'t too mushy. Store in a plastic bag or covered container. (If it\'s out in the air for more than two horus it will harden!)\"
,,Make dinosaur sn_t,,,,,,,,,,,,,,,,,,\"Make dinosaur sn_t. Okay; so maybe it isn\'t real...but it sure looks like it! You\'ll need: a mixing bowl; 1 1/2 cups cornstarch; 1 cup water; yellow and green food coloring. Instructions: In the bowl; mix the cornstarch and water. Add a few drops of yellow and green food coloring to the mixture. Use your hands to make sure it has really combined. After about a minute; you\'ll have stretchy slime that looks like it came from a dinosaur. Achoo!\"
,My Family Story,,,,,,,,,,,,,,,,,,,
,1,Explore family stories,,,,,,,,,,,,,,,,,,There are all kinds of family stories and all kinds of families. As you explore these stories; think about the questions in the box below. Talk about your answers with your family and Brownie friends!
,,Read two stories starring families,,,,,,,,,,,,,,,,,,Read two stories starring families. Many books are all about girls and their families. Read two on your own or in a group.
,,Watch a family story,,,,,,,,,,,,,,,,,,\"Watch a family story. Watch one movie or two different TV shows about family.FOR MORE FUN: If your family was in a movie; what would they do? Come up with a name for your family\'s movie; and draw the movie poster.\"
,,Share family stories with friends,,,,,,,,,,,,,,,,,,Share family stories with friends. In your Brownie group; share a story about your family. Then listen to other girls\' stories.
,2,Know where your family is from, , , , , , , , , , , , , , , ,,,Find out which different countries; states; or towns your family comes from. Family stories are passed down differently in different cultures. How does your family share its family traditions and history?
,,\"Ask about a festival, holiday, or\",,,,,,,,,,,,,,,,,,Ask about a festival; holiday; or event. Learn why that day is special. How do people have fun on that day? Try out one highlight of the day with your family or Brownie group-perhaps a ritual; a costume; or a recipe.
,,\"Ask about a song, game, or\",,,,,,,,,,,,,,,,,,Ask about a song; game; or dance. Try to sing the song; play the game; or dance the dance! You could teach it to your Brownie group.
,,Ask about a family recipe,,,,,,,,,,,,,,,,,,Ask about a family recipe. Every place has food that is special. Ask a family member to help you make a family recipe. Share the food with friends.
,3,Make a story tree, , , , , , , , , , , , , , , ,,,Knowing who your family members are is only half the fun! Find a special detail about each person to write on your family tree. (Some ideas are on the next page.) Then make your tree in one of these ways.
,,Use the story tree,,,,,,,,,,,,,,,,,,Use the story tree. Look at Brownie Elf\'s story tree to see an example. Then draw your family on the story tree. Write their special detail on one of your journal pages.
,,Draw or paint your tree,,,,,,,,,,,,,,,,,,Draw or paint your tree. You can choose colors; shapes; and decorate it yourself. You could use photos of your family; too!
,,\"Use software on a computer, or \",,,,,,,,,,,,,,,,,,Use software on a computer; or from an online site. Get an adult\'s help.
,4,Find an object that means, , , , , , , , , , , , , , , ,,,\"Find an object that means something to your family. Objects like photos; jewelry; and books can mean a lot. They can be favorite things from old times; or things that make people feel special. This means that objects can have their own stories! With your family; find an object that tells a part of your family\'s story.\"
,,Ask about an old photo,,,,,,,,,,,,,,,,,,\"Ask about an old photo. Learn what was happening when the photograph was taken. Share the photo and the story with a family member who doesn\'t know about them! FOR MORE FUN: Write or draw a story that begins or ends with that moment. Use your family members as characters.\"
,,Talk about an object that has been,,,,,,,,,,,,,,,,,,\"Talk about an object that has been handed down. Sometimes family members pass important objects on to other family members. Learn the story behind one of these. FOR MORE FUN: Make a family time capsule. Include pictures of important objects; photos; family news; and even your drawings. Be sure to decide when it will be opened!\"
,,Ask about an object that belongs,,,,,,,,,,,,,,,,,,Ask about an object that belongs to a far-away family member. With your family\'s help; call or write that relative. Ask about the story behind one of their treasured objects.
,5,Share your family story, , , , , , , , , , , , , , , ,,,You\'ve heard so many amazing family stories. Now it\'s time to share them with others! Pick one of these activities to help you tell your story.
,,\"Have a \"\"family tree\"\" potluck party\",,,,,,,,,,,,,,,,,,\"Have a \"\"family tree\"\" potluck party. Every girl brings a dish and tells a story that she\'s learned about her family. You could invite your families to share the fun. FOR MORE FUN: Make a \"\"heritage fruit salad.\"\" Each girl brings a fruit from a place where her family has lived. Mix them all together for a yummy treat.\"
,,Make a family crest,,,,,,,,,,,,,,,,,,\"Make a family crest. In some countries; each family has a crest. A crest is a picture that uses colors and symbols to show what\'s important to the family. Think of what is important to your family; then draw your own crest. Tell your friends why you drew it in just that way. FOR MORE FUN: Ask an adult to print out your crest on transferable paper; and iron it onto a T-shirt for you to wear.\"
,,Become pen pals with another,,,,,,,,,,,,,,,,,,\"Become pen pals with another member of your family. Write about what you and your family are doing. You could pick someone far away; and even send photos. Make a special folder to keep copies of notes you send and notes you get. FOR MORE FUN: At your next family gathering; read some of your notes.\"
,Potter,,,,,,,,,,,,,,,,,,,
,1,Find some pottery,,,,,,,,,,,,,,,,,,Find the pottery that\'s all around you-that way you can get ideas for making your own. When you do one of these things; begin an artist notebook to write your great ideas or draw a picture of something you have seen.
,,Visit an art gallery or museum,,,,,,,,,,,,,,,,,,Visit an art gallery or museum. Ask your Brownie volunteer to help you find a clay exhibit or gallery with pottery. Remember that pottery can break easily. Be respectful of artwork!
,,Look for clay in your life,,,,,,,,,,,,,,,,,,\"Look for clay in your life. It\'s all around you at your house; at your school; in your community. See how many things made of clay you can spot in a week. FOR MORE FUN: Have a scavenger hunt with friends and see how many things you can find that are made of clay.\"
,,\"Look in books, magazines, or\",,,,,,,,,,,,,,,,,,\"Look in books; magazines; or online for clay things. Did you know that false teeth used to be made out of clay? What else can you find that was made from clay? FOR MORE FUN: Paste pictures of what you find in your artist notebook.\"
,2,Get to know clay, , , , , , , , , , , , , , , ,,,Visit with a clay expert! Ask this person to tell you about scoring; storing; wedging; and firing; and why each of these is important.
,,Visit a potter\'s studio,,,,,,,,,,,,,,,,,,Visit a potter\'s studio. A clay artist is often called a potter.
,,Invite a craft teacher to your,,,,,,,,,,,,,,,,,,Invite a craft teacher to your meeting. Ask them to bring clay samples; if possible.
,,Go to a pottery class at a ,,,,,,,,,,,,,,,,,,Go to a pottery class at a community center. Many offer classes for beginners.
